ate,Open,High,Low,Close*,Adj Close**,Volume
"Aug 13, 2018",2835.46,2843.40,2819.88,2821.93,2821.93,3158450000.00
"Aug 10, 2018",2838.90,2842.20,2825.81,2833.28,2833.28,3256040000.00
"Aug 09, 2018",2857.19,2862.48,2851.98,2853.58,2853.58,3047050000.00
"Aug 08, 2018",2856.79,2862.44,2853.09,2857.70,2857.70,2972200000.00
"Aug 07, 2018",2855.92,2863.43,2855.92,2858.45,2858.45,3162770000.00
"Aug 06, 2018",2840.29,2853.29,2835.98,2850.40,2850.40,2874540000.00
"Aug 03, 2018",2829.62,2840.38,2827.37,2840.35,2840.35,3030390000.00
"Aug 02, 2018",2800.48,2829.91,2796.34,2827.22,2827.22,3467380000.00
"Aug 01, 2018",2821.17,2825.83,2805.85,2813.36,2813.36,3496990000.00
"Jul 31, 2018",2809.73,2824.46,2808.06,2816.29,2816.29,3892100000.00
"Jul 30, 2018",2819.00,2821.74,2798.11,2802.60,2802.60,3245770000.00
"Jul 27, 2018",2842.35,2843.17,2808.34,2818.82,2818.82,3415710000.00
"Jul 26, 2018",2835.49,2845.57,2835.26,2837.44,2837.44,3653330000.00
"Jul 25, 2018",2817.73,2848.03,2817.73,2846.07,2846.07,3553010000.00
"Jul 24, 2018",2820.68,2829.99,2811.12,2820.40,2820.40,3417530000.00
"Jul 23, 2018",2799.17,2808.61,2795.14,2806.98,2806.98,2907430000.00
"Jul 20, 2018",2804.55,2809.70,2800.01,2801.83,2801.83,3230210000.00
"Jul 19, 2018",2809.37,2812.05,2799.77,2804.49,2804.49,3266700000.00
"Jul 18, 2018",2811.35,2816.76,2805.89,2815.62,2815.62,3089780000.00
"Jul 17, 2018",2789.34,2814.19,2789.24,2809.55,2809.55,3050730000.00
"Jul 16, 2018",2797.36,2801.19,2793.39,2798.43,2798.43,2812230000.00
"Jul 13, 2018",2796.93,2804.53,2791.69,2801.31,2801.31,2614000000.00
"Jul 12, 2018",2783.14,2799.22,2781.53,2798.29,2798.29,2821690000.00
"Jul 11, 2018",2779.82,2785.91,2770.77,2774.02,2774.02,2964740000.00
"Jul 10, 2018",2788.56,2795.58,2786.24,2793.84,2793.84,3063850000.00
"Jul 09, 2018",2775.62,2784.65,2770.73,2784.17,2784.17,3050040000.00
"Jul 06, 2018",2737.68,2764.41,2733.52,2759.82,2759.82,2554780000.00
"Jul 05, 2018",2724.19,2737.83,2716.02,2736.61,2736.61,2953420000.00
"Jul 03, 2018",2733.27,2736.58,2711.16,2713.22,2713.22,1911470000.00
"Jul 02, 2018",2704.95,2727.26,2698.95,2726.71,2726.71,3073650000.00
"Jun 29, 2018",2727.13,2743.26,2718.03,2718.37,2718.37,3565620000.00
"Jun 28, 2018",2698.69,2724.34,2691.99,2716.31,2716.31,3428140000.00
"Jun 27, 2018",2728.45,2746.09,2699.38,2699.63,2699.63,3776090000.00
"Jun 26, 2018",2722.12,2732.91,2715.60,2723.06,2723.06,3555090000.00
"Jun 25, 2018",2742.94,2742.94,2698.67,2717.07,2717.07,3655080000.00
"Jun 22, 2018",2760.79,2764.17,2752.68,2754.88,2754.88,5450550000.00
"Jun 21, 2018",2769.28,2769.28,2744.39,2749.76,2749.76,3300060000.00
"Jun 20, 2018",2769.73,2774.86,2763.91,2767.32,2767.32,3327600000.00
"Jun 19, 2018",2752.01,2765.05,2743.19,2762.59,2762.59,3661470000.00
"Jun 18, 2018",2765.79,2774.99,2757.12,2773.75,2773.75,3287150000.00
"Jun 15, 2018",2777.78,2782.81,2761.73,2779.66,2779.66,5428790000.00
"Jun 14, 2018",2783.21,2789.06,2776.52,2782.49,2782.49,3526890000.00
"Jun 13, 2018",2787.94,2791.47,2774.65,2775.63,2775.63,3779230000.00
"Jun 12, 2018",2785.60,2789.80,2778.78,2786.85,2786.85,3401010000.00
"Jun 11, 2018",2780.18,2790.21,2780.17,2782.00,2782.00,3232330000.00
"Jun 08, 2018",2765.84,2779.39,2763.59,2779.03,2779.03,3123210000.00
"Jun 07, 2018",2774.84,2779.90,2760.16,2770.37,2770.37,3711330000.00
"Jun 06, 2018",2753.25,2772.39,2748.46,2772.35,2772.35,3651640000.00
"Jun 05, 2018",2748.46,2752.61,2739.51,2748.80,2748.80,3517790000.00
"Jun 04, 2018",2741.67,2749.16,2740.54,2746.87,2746.87,3376510000.00
"Jun 01, 2018",2718.70,2736.93,2718.70,2734.62,2734.62,3684130000.00
"May 31, 2018",2720.98,2722.50,2700.68,2705.27,2705.27,4235370000.00
"May 30, 2018",2702.43,2729.34,2702.43,2724.01,2724.01,3561050000.00
"May 29, 2018",2705.11,2710.67,2676.81,2689.86,2689.86,3736890000.00
"May 25, 2018",2723.60,2727.36,2714.99,2721.33,2721.33,2995260000.00
"May 24, 2018",2730.94,2731.97,2707.38,2727.76,2727.76,3256030000.00
"May 23, 2018",2713.98,2733.33,2709.54,2733.29,2733.29,3326290000.00
"May 22, 2018",2738.34,2742.24,2721.88,2724.44,2724.44,3366310000.00
"May 21, 2018",2735.39,2739.19,2725.70,2733.01,2733.01,3019890000.00
"May 18, 2018",2717.35,2719.50,2709.18,2712.97,2712.97,3368690000.00
"May 17, 2018",2719.71,2731.96,2711.36,2720.13,2720.13,3475400000.00
"May 16, 2018",2712.62,2727.76,2712.17,2722.46,2722.46,3202670000.00
"May 15, 2018",2718.59,2718.59,2701.91,2711.45,2711.45,3290680000.00
"May 14, 2018",2738.47,2742.10,2725.47,2730.13,2730.13,2972660000.00
"May 11, 2018",2722.70,2732.86,2717.45,2727.72,2727.72,2862700000.00
"May 10, 2018",2705.02,2726.11,2704.54,2723.07,2723.07,3333050000.00
"May 09, 2018",2678.12,2701.27,2674.14,2697.79,2697.79,3909500000.00
"May 08, 2018",2670.26,2676.34,2655.20,2671.92,2671.92,3717570000.00
"May 07, 2018",2680.34,2683.35,2664.70,2672.63,2672.63,3237960000.00
"May 04, 2018",2621.45,2670.93,2615.32,2663.42,2663.42,3327220000.00
"May 03, 2018",2628.08,2637.14,2594.62,2629.73,2629.73,3851470000.00
"May 02, 2018",2654.24,2660.87,2631.70,2635.67,2635.67,4010770000.00
"May 01, 2018",2642.96,2655.27,2625.41,2654.80,2654.80,3559850000.00
"Apr 30, 2018",2682.51,2682.87,2648.04,2648.05,2648.05,3734530000.00
"Apr 27, 2018",2675.47,2677.35,2659.01,2669.91,2669.91,3219030000.00
"Apr 26, 2018",2651.65,2676.48,2647.16,2666.94,2666.94,3665720000.00
"Apr 25, 2018",2634.92,2645.30,2612.67,2639.40,2639.40,3499440000.00
"Apr 24, 2018",2680.80,2683.55,2617.32,2634.56,2634.56,3706740000.00
"Apr 23, 2018",2675.40,2682.86,2657.99,2670.29,2670.29,3017480000.00
"Apr 20, 2018",2692.56,2693.94,2660.61,2670.14,2670.14,3388590000.00
"Apr 19, 2018",2701.16,2702.84,2681.90,2693.13,2693.13,3349370000.00
"Apr 18, 2018",2710.11,2717.49,2703.63,2708.64,2708.64,3383410000.00
"Apr 17, 2018",2692.74,2713.34,2692.05,2706.39,2706.39,3234360000.00
"Apr 16, 2018",2670.10,2686.49,2665.16,2677.84,2677.84,3019700000.00
"Apr 13, 2018",2676.90,2680.26,2645.05,2656.30,2656.30,2960910000.00
"Apr 12, 2018",2653.83,2674.72,2653.83,2663.99,2663.99,3021320000.00
"Apr 11, 2018",2643.89,2661.43,2639.25,2642.19,2642.19,3020760000.00
"Apr 10, 2018",2638.41,2665.45,2635.78,2656.87,2656.87,3543930000.00
"Apr 09, 2018",2617.18,2653.55,2610.79,2613.16,2613.16,3062960000.00
"Apr 06, 2018",2645.82,2656.88,2586.27,2604.47,2604.47,3299700000.00
"Apr 05, 2018",2657.36,2672.08,2649.58,2662.84,2662.84,3178970000.00
"Apr 04, 2018",2584.04,2649.86,2573.61,2644.69,2644.69,3350340000.00
"Apr 03, 2018",2592.17,2619.14,2575.49,2614.45,2614.45,3392810000.00
"Apr 02, 2018",2633.45,2638.30,2553.80,2581.88,2581.88,3598520000.00
"Mar 29, 2018",2614.41,2659.07,2609.72,2640.87,2640.87,3565990000.00
"Mar 28, 2018",2611.30,2632.65,2593.06,2605.00,2605.00,3864500000.00
"Mar 27, 2018",2667.57,2674.78,2596.12,2612.62,2612.62,3706350000.00
"Mar 26, 2018",2619.35,2661.36,2601.81,2658.55,2658.55,3511100000.00
"Mar 23, 2018",2646.71,2657.67,2585.89,2588.26,2588.26,3815080000.00
"Mar 22, 2018",2691.36,2695.68,2641.59,2643.69,2643.69,3739800000.00
"Mar 21, 2018",2714.99,2739.14,2709.79,2711.93,2711.93,3415510000.00
"Mar 20, 2018",2715.05,2724.22,2710.05,2716.94,2716.94,3261030000.00
"Mar 19, 2018",2741.38,2741.38,2694.59,2712.92,2712.92,3302130000.00
"Mar 16, 2018",2750.57,2761.85,2749.97,2752.01,2752.01,5372340000.00
"Mar 15, 2018",2754.27,2763.03,2741.47,2747.33,2747.33,3500330000.00
"Mar 14, 2018",2774.06,2777.11,2744.38,2749.48,2749.48,3391360000.00
"Mar 13, 2018",2792.31,2801.90,2758.68,2765.31,2765.31,3301650000.00
"Mar 12, 2018",2790.54,2796.98,2779.26,2783.02,2783.02,3185020000.00
"Mar 09, 2018",2752.91,2786.57,2751.54,2786.57,2786.57,3364100000.00
"Mar 08, 2018",2732.75,2740.45,2722.65,2738.97,2738.97,3212320000.00
"Mar 07, 2018",2710.18,2730.60,2701.74,2726.80,2726.80,3393270000.00
"Mar 06, 2018",2730.18,2732.08,2711.26,2728.12,2728.12,3370690000.00
"Mar 05, 2018",2681.06,2728.09,2675.75,2720.94,2720.94,3710810000.00
"Mar 02, 2018",2658.89,2696.25,2647.32,2691.25,2691.25,3882450000.00
"Mar 01, 2018",2715.22,2730.89,2659.65,2677.67,2677.67,4503970000.00
"Feb 28, 2018",2753.78,2761.52,2713.54,2713.83,2713.83,4230660000.00
"Feb 27, 2018",2780.45,2789.15,2744.22,2744.28,2744.28,3745080000.00
"Feb 26, 2018",2757.37,2780.64,2753.78,2779.60,2779.60,3424650000.00
"Feb 23, 2018",2715.80,2747.76,2713.74,2747.30,2747.30,3189190000.00
"Feb 22, 2018",2710.42,2731.26,2697.77,2703.96,2703.96,3701270000.00
"Feb 21, 2018",2720.53,2747.75,2701.29,2701.33,2701.33,3779400000.00
"Feb 20, 2018",2722.99,2737.60,2706.76,2716.26,2716.26,3627610000.00
"Feb 16, 2018",2727.14,2754.42,2725.11,2732.22,2732.22,3637460000.00
"Feb 15, 2018",2713.46,2731.51,2689.82,2731.20,2731.20,3684910000.00
"Feb 14, 2018",2651.21,2702.10,2648.87,2698.63,2698.63,4003740000.00
"Feb 13, 2018",2646.27,2668.84,2637.08,2662.94,2662.94,3472870000.00
"Feb 12, 2018",2636.75,2672.61,2622.45,2656.00,2656.00,4055790000.00
"Feb 09, 2018",2601.78,2638.67,2532.69,2619.55,2619.55,5680070000.00
"Feb 08, 2018",2685.01,2685.27,2580.56,2581.00,2581.00,5305440000.00
"Feb 07, 2018",2690.95,2727.67,2681.33,2681.66,2681.66,4626570000.00
"Feb 06, 2018",2614.78,2701.04,2593.07,2695.14,2695.14,5891660000.00
"Feb 05, 2018",2741.06,2763.39,2638.17,2648.94,2648.94,5283460000.00
"Feb 02, 2018",2808.92,2808.92,2759.97,2762.13,2762.13,4301130000.00
"Feb 01, 2018",2816.45,2835.96,2812.70,2821.98,2821.98,3938450000.00
"Jan 31, 2018",2832.41,2839.26,2813.04,2823.81,2823.81,4261280000.00
"Jan 30, 2018",2832.74,2837.75,2818.27,2822.43,2822.43,3990650000.00
"Jan 29, 2018",2867.23,2870.62,2851.48,2853.53,2853.53,3573830000.00
"Jan 26, 2018",2847.48,2872.87,2846.18,2872.87,2872.87,3443230000.00
